"","Cause","State","Year","Deaths","Population","Crude.Rate","Nat_Pop","Nat_Mort","Nat_M_Rate","Comp_Rate","Comp_Cat"
"3629","Nervous System","WA",2009,4265,6667426,64,306771529,2436924,7.94,8,"5<x<=10"
"3630","Nervous System","WA",2010,4352,6724540,64.7,308745538,2468186,7.99,8,"5<x<=10"
"3631","Nervous System","WV",1999,615,1811799,33.9,279040168,2391143,8.57,4,"1<x<=4"
"3632","Nervous System","WV",2000,659,1808344,36.4,281421906,2403035,8.54,4,"1<x<=4"
"3633","Nervous System","WV",2001,675,1801481,37.5,284968955,2416093,8.48,4,"1<x<=4"
"3634","Nervous System","WV",2002,699,1805414,38.7,287625193,2443141,8.49,5,"1<x<=4"
"3635","Nervous System","WV",2003,815,1812295,45,290107933,2448007,8.44,5,"1<x<=4"
"3636","Nervous System","WV",2004,837,1816438,46.1,292805298,2397325,8.19,6,"5<x<=10"
"3637","Nervous System","WV",2005,819,1820492,45,295516599,2447782,8.28,5,"1<x<=4"
"3638","Nervous System","WV",2006,841,1827912,46,298379912,2425990,8.13,6,"5<x<=10"
"3639","Nervous System","WV",2007,908,1834052,49.5,301231207,2423460,8.05,6,"5<x<=10"
"3640","Nervous System","WV",2008,1085,1840310,59,304093966,2471723,8.13,7,"5<x<=10"
"3641","Nervous System","WV",2009,986,1847775,53.4,306771529,2436924,7.94,7,"5<x<=10"
"3642","Nervous System","WV",2010,978,1852994,52.8,308745538,2468186,7.99,7,"5<x<=10"
"3643","Nervous System","WI",1999,2030,5332666,38.1,279040168,2391143,8.57,4,"1<x<=4"
"3644","Nervous System","WI",2000,2056,5363675,38.3,281421906,2403035,8.54,4,"1<x<=4"
"3645","Nervous System","WI",2001,2221,5406835,41.1,284968955,2416093,8.48,5,"1<x<=4"
"3646","Nervous System","WI",2002,2311,5445162,42.4,287625193,2443141,8.49,5,"1<x<=4"
"3647","Nervous System","WI",2003,2414,5479203,44.1,290107933,2448007,8.44,5,"1<x<=4"
"3648","Nervous System","WI",2004,2464,5514026,44.7,292805298,2397325,8.19,5,"1<x<=4"
"3649","Nervous System","WI",2005,2605,5546166,47,295516599,2447782,8.28,6,"5<x<=10"
"3650","Nervous System","WI",2006,2686,5577655,48.2,298379912,2425990,8.13,6,"5<x<=10"
"3651","Nervous System","WI",2007,2851,5610775,50.8,301231207,2423460,8.05,6,"5<x<=10"
"3652","Nervous System","WI",2008,2857,5640996,50.6,304093966,2471723,8.13,6,"5<x<=10"
"3653","Nervous System","WI",2009,2772,5669264,48.9,306771529,2436924,7.94,6,"5<x<=10"
"3654","Nervous System","WI",2010,2995,5686986,52.7,308745538,2468186,7.99,7,"5<x<=10"
"3655","Nervous System","WY",1999,180,491780,36.6,279040168,2391143,8.57,4,"1<x<=4"
"3656","Nervous System","WY",2000,181,493782,36.7,281421906,2403035,8.54,4,"1<x<=4"
"3657","Nervous System","WY",2001,199,494657,40.2,284968955,2416093,8.48,5,"1<x<=4"
"3658","Nervous System","WY",2002,210,500017,42,287625193,2443141,8.49,5,"1<x<=4"
"3659","Nervous System","WY",2003,235,503453,46.7,290107933,2448007,8.44,6,"5<x<=10"
"3660","Nervous System","WY",2004,175,509106,34.4,292805298,2397325,8.19,4,"1<x<=4"
"3661","Nervous System","WY",2005,191,514157,37.1,295516599,2447782,8.28,4,"1<x<=4"
"3662","Nervous System","WY",2006,206,522667,39.4,298379912,2425990,8.13,5,"1<x<=4"
"3663","Nervous System","WY",2007,195,534876,36.5,301231207,2423460,8.05,5,"1<x<=4"
"3664","Nervous System","WY",2008,228,546043,41.8,304093966,2471723,8.13,5,"1<x<=4"
"3665","Nervous System","WY",2009,217,559851,38.8,306771529,2436924,7.94,5,"1<x<=4"
"3666","Nervous System","WY",2010,235,563626,41.7,308745538,2468186,7.99,5,"1<x<=4"
"3667","Ear-Mastoid","CA",1999,12,33499204,0,279040168,2391143,8.57,0,"x<=1"
"3668","Ear-Mastoid","CA",2002,11,34871843,0,287625193,2443141,8.49,0,"x<=1"
"3669","Ear-Mastoid","CA",2006,10,36021202,0,298379912,2425990,8.13,0,"x<=1"
"3670","Ear-Mastoid","CA",2009,10,36961229,0,306771529,2436924,7.94,0,"x<=1"
"3671","Ear-Mastoid","FL",2006,10,18166990,0.1,298379912,2425990,8.13,0,"x<=1"
"3672","Ear-Mastoid","TX",2000,10,20851820,0,281421906,2403035,8.54,0,"x<=1"
"3673","Ear-Mastoid","TX",2005,11,22778123,0,295516599,2447782,8.28,0,"x<=1"
"3674","Ear-Mastoid","TX",2008,10,24309039,0,304093966,2471723,8.13,0,"x<=1"
"3675","Circulatory","AL",1999,17548,4430141,396.1,279040168,2391143,8.57,46,"x>30"
"3676","Circulatory","AL",2000,17607,4447100,395.9,281421906,2403035,8.54,46,"x>30"
"3677","Circulatory","AL",2001,17301,4467634,387.3,284968955,2416093,8.48,46,"x>30"
"3678","Circulatory","AL",2002,17436,4480089,389.2,287625193,2443141,8.49,46,"x>30"
"3679","Circulatory","AL",2003,17338,4503491,385,290107933,2448007,8.44,46,"x>30"
"3680","Circulatory","AL",2004,16865,4530729,372.2,292805298,2397325,8.19,45,"x>30"
"3681","Circulatory","AL",2005,16989,4569805,371.8,295516599,2447782,8.28,45,"x>30"
"3682","Circulatory","AL",2006,16378,4628981,353.8,298379912,2425990,8.13,44,"x>30"
"3683","Circulatory","AL",2007,15786,4672840,337.8,301231207,2423460,8.05,42,"x>30"
"3684","Circulatory","AL",2008,15987,4718206,338.8,304093966,2471723,8.13,42,"x>30"
"3685","Circulatory","AL",2009,15776,4757938,331.6,306771529,2436924,7.94,42,"x>30"
"3686","Circulatory","AL",2010,15809,4779736,330.8,308745538,2468186,7.99,41,"x>30"
"3687","Circulatory","AK",1999,777,624779,124.4,279040168,2391143,8.57,15,"10<x<=20"
"3688","Circulatory","AK",2000,827,626932,131.9,281421906,2403035,8.54,15,"10<x<=20"
"3689","Circulatory","AK",2001,864,633714,136.3,284968955,2416093,8.48,16,"10<x<=20"
"3690","Circulatory","AK",2002,797,642337,124.1,287625193,2443141,8.49,15,"10<x<=20"
"3691","Circulatory","AK",2003,922,648414,142.2,290107933,2448007,8.44,17,"10<x<=20"
"3692","Circulatory","AK",2004,815,659286,123.6,292805298,2397325,8.19,15,"10<x<=20"
"3693","Circulatory","AK",2005,853,666946,127.9,295516599,2447782,8.28,15,"10<x<=20"
"3694","Circulatory","AK",2006,877,675302,129.9,298379912,2425990,8.13,16,"10<x<=20"
"3695","Circulatory","AK",2007,818,680300,120.2,301231207,2423460,8.05,15,"10<x<=20"
"3696","Circulatory","AK",2008,850,687455,123.6,304093966,2471723,8.13,15,"10<x<=20"
"3697","Circulatory","AK",2009,928,698895,132.8,306771529,2436924,7.94,17,"10<x<=20"
"3698","Circulatory","AK",2010,945,710231,133.1,308745538,2468186,7.99,17,"10<x<=20"
"3699","Circulatory","AZ",1999,14417,5023823,287,279040168,2391143,8.57,33,"x>30"
"3700","Circulatory","AZ",2000,14240,5130632,277.5,281421906,2403035,8.54,32,"x>30"
"3701","Circulatory","AZ",2001,14094,5273477,267.3,284968955,2416093,8.48,32,"x>30"
"3702","Circulatory","AZ",2002,14432,5396255,267.4,287625193,2443141,8.49,31,"x>30"
"3703","Circulatory","AZ",2003,14352,5510364,260.5,290107933,2448007,8.44,31,"x>30"
"3704","Circulatory","AZ",2004,14093,5652404,249.3,292805298,2397325,8.19,30,"20<x<=30"
"3705","Circulatory","AZ",2005,14475,5839077,247.9,295516599,2447782,8.28,30,"20<x<=30"
"3706","Circulatory","AZ",2006,13902,6029141,230.6,298379912,2425990,8.13,28,"20<x<=30"
"3707","Circulatory","AZ",2007,13586,6167681,220.3,301231207,2423460,8.05,27,"20<x<=30"
"3708","Circulatory","AZ",2008,13625,6280362,216.9,304093966,2471723,8.13,27,"20<x<=30"
"3709","Circulatory","AZ",2009,13450,6343154,212,306771529,2436924,7.94,27,"20<x<=30"
"3710","Circulatory","AZ",2010,13192,6392017,206.4,308745538,2468186,7.99,26,"20<x<=30"
"3711","Circulatory","AR",1999,11260,2651860,424.6,279040168,2391143,8.57,50,"x>30"
"3712","Circulatory","AR",2000,11156,2673400,417.3,281421906,2403035,8.54,49,"x>30"
"3713","Circulatory","AR",2001,11183,2691571,415.5,284968955,2416093,8.48,49,"x>30"
"3714","Circulatory","AR",2002,11218,2705927,414.6,287625193,2443141,8.49,49,"x>30"
"3715","Circulatory","AR",2003,10514,2724816,385.9,290107933,2448007,8.44,46,"x>30"
"3716","Circulatory","AR",2004,10131,2749686,368.4,292805298,2397325,8.19,45,"x>30"
"3717","Circulatory","AR",2005,10125,2781097,364.1,295516599,2447782,8.28,44,"x>30"
"3718","Circulatory","AR",2006,9925,2821761,351.7,298379912,2425990,8.13,43,"x>30"
"3719","Circulatory","AR",2007,9687,2848650,340.1,301231207,2423460,8.05,42,"x>30"
"3720","Circulatory","AR",2008,9819,2874554,341.6,304093966,2471723,8.13,42,"x>30"
"3721","Circulatory","AR",2009,9520,2896843,328.6,306771529,2436924,7.94,41,"x>30"
"3722","Circulatory","AR",2010,9586,2915918,328.7,308745538,2468186,7.99,41,"x>30"
"3723","Circulatory","CA",1999,96511,33499204,288.1,279040168,2391143,8.57,34,"x>30"
"3724","Circulatory","CA",2000,92982,33871648,274.5,281421906,2403035,8.54,32,"x>30"
"3725","Circulatory","CA",2001,92912,34479458,269.5,284968955,2416093,8.48,32,"x>30"
"3726","Circulatory","CA",2002,93025,34871843,266.8,287625193,2443141,8.49,31,"x>30"
"3727","Circulatory","CA",2003,93373,35253159,264.9,290107933,2448007,8.44,31,"x>30"
"3728","Circulatory","CA",2004,88674,35574576,249.3,292805298,2397325,8.19,30,"20<x<=30"
"3729","Circulatory","CA",2005,87527,35827943,244.3,295516599,2447782,8.28,30,"20<x<=30"
"3730","Circulatory","CA",2006,86484,36021202,240.1,298379912,2425990,8.13,30,"20<x<=30"
"3731","Circulatory","CA",2007,82836,36250311,228.5,301231207,2423460,8.05,28,"20<x<=30"
"3732","Circulatory","CA",2008,81256,36604337,222,304093966,2471723,8.13,27,"20<x<=30"
"3733","Circulatory","CA",2009,79173,36961229,214.2,306771529,2436924,7.94,27,"20<x<=30"
"3734","Circulatory","CA",2010,78960,37253956,212,308745538,2468186,7.99,27,"20<x<=30"
"3735","Circulatory","CO",1999,9270,4226018,219.4,279040168,2391143,8.57,26,"20<x<=30"
"3736","Circulatory","CO",2000,9106,4301261,211.7,281421906,2403035,8.54,25,"20<x<=30"
"3737","Circulatory","CO",2001,9238,4425687,208.7,284968955,2416093,8.48,25,"20<x<=30"
"3738","Circulatory","CO",2002,9418,4490406,209.7,287625193,2443141,8.49,25,"20<x<=30"
"3739","Circulatory","CO",2003,9334,4528732,206.1,290107933,2448007,8.44,24,"20<x<=30"
"3740","Circulatory","CO",2004,8760,4575013,191.5,292805298,2397325,8.19,23,"20<x<=30"
"3741","Circulatory","CO",2005,8933,4631888,192.9,295516599,2447782,8.28,23,"20<x<=30"
"3742","Circulatory","CO",2006,8578,4720423,181.7,298379912,2425990,8.13,22,"20<x<=30"
"3743","Circulatory","CO",2007,8512,4803868,177.2,301231207,2423460,8.05,22,"20<x<=30"
"3744","Circulatory","CO",2008,8452,4889730,172.9,304093966,2471723,8.13,21,"20<x<=30"
"3745","Circulatory","CO",2009,8335,4972195,167.6,306771529,2436924,7.94,21,"20<x<=30"
"3746","Circulatory","CO",2010,8352,5029196,166.1,308745538,2468186,7.99,21,"20<x<=30"
"3747","Circulatory","CT",1999,11838,3386401,349.6,279040168,2391143,8.57,41,"x>30"
"3748","Circulatory","CT",2000,11808,3405565,346.7,281421906,2403035,8.54,41,"x>30"
"3749","Circulatory","CT",2001,11358,3432835,330.9,284968955,2416093,8.48,39,"x>30"
"3750","Circulatory","CT",2002,11447,3458749,331,287625193,2443141,8.49,39,"x>30"
"3751","Circulatory","CT",2003,11015,3484336,316.1,290107933,2448007,8.44,37,"x>30"
"3752","Circulatory","CT",2004,10299,3496094,294.6,292805298,2397325,8.19,36,"x>30"
"3753","Circulatory","CT",2005,9999,3506956,285.1,295516599,2447782,8.28,34,"x>30"
"3754","Circulatory","CT",2006,9797,3517460,278.5,298379912,2425990,8.13,34,"x>30"
"3755","Circulatory","CT",2007,9454,3527270,268,301231207,2423460,8.05,33,"x>30"
"3756","Circulatory","CT",2008,9471,3545579,267.1,304093966,2471723,8.13,33,"x>30"
"3757","Circulatory","CT",2009,9258,3561807,259.9,306771529,2436924,7.94,33,"x>30"
"3758","Circulatory","CT",2010,9141,3574097,255.8,308745538,2468186,7.99,32,"x>30"
"3759","Circulatory","DE",1999,2516,774990,324.6,279040168,2391143,8.57,38,"x>30"
"3760","Circulatory","DE",2000,2567,783600,327.6,281421906,2403035,8.54,38,"x>30"
"3761","Circulatory","DE",2001,2568,795699,322.7,284968955,2416093,8.48,38,"x>30"
"3762","Circulatory","DE",2002,2481,806169,307.8,287625193,2443141,8.49,36,"x>30"
"3763","Circulatory","DE",2003,2609,818003,318.9,290107933,2448007,8.44,38,"x>30"
"3764","Circulatory","DE",2004,2541,830803,305.8,292805298,2397325,8.19,37,"x>30"
"3765","Circulatory","DE",2005,2586,845150,306,295516599,2447782,8.28,37,"x>30"
"3766","Circulatory","DE",2006,2361,859268,274.8,298379912,2425990,8.13,34,"x>30"
"3767","Circulatory","DE",2007,2413,871749,276.8,301231207,2423460,8.05,34,"x>30"
"3768","Circulatory","DE",2008,2274,883874,257.3,304093966,2471723,8.13,32,"x>30"
"3769","Circulatory","DE",2009,2332,891730,261.5,306771529,2436924,7.94,33,"x>30"
"3770","Circulatory","DE",2010,2343,897934,260.9,308745538,2468186,7.99,33,"x>30"
"3771","Circulatory","DC",1999,2099,570213,368.1,279040168,2391143,8.57,43,"x>30"
"3772","Circulatory","DC",2000,2149,572059,375.7,281421906,2403035,8.54,44,"x>30"
"3773","Circulatory","DC",2001,2164,574504,376.7,284968955,2416093,8.48,44,"x>30"
"3774","Circulatory","DC",2002,2048,573158,357.3,287625193,2443141,8.49,42,"x>30"
"3775","Circulatory","DC",2003,2019,568502,355.1,290107933,2448007,8.44,42,"x>30"
"3776","Circulatory","DC",2004,1899,567754,334.5,292805298,2397325,8.19,41,"x>30"
"3777","Circulatory","DC",2005,1900,567136,335,295516599,2447782,8.28,40,"x>30"
"3778","Circulatory","DC",2006,1921,570681,336.6,298379912,2425990,8.13,41,"x>30"
"3779","Circulatory","DC",2007,1783,574404,310.4,301231207,2423460,8.05,39,"x>30"
"3780","Circulatory","DC",2008,1735,580236,299,304093966,2471723,8.13,37,"x>30"
"3781","Circulatory","DC",2009,1584,592228,267.5,306771529,2436924,7.94,34,"x>30"
"3782","Circulatory","DC",2010,1600,601723,265.9,308745538,2468186,7.99,33,"x>30"
"3783","Circulatory","FL",1999,66257,15759421,420.4,279040168,2391143,8.57,49,"x>30"
"3784","Circulatory","FL",2000,65368,15982378,409,281421906,2403035,8.54,48,"x>30"
"3785","Circulatory","FL",2001,65387,16356966,399.8,284968955,2416093,8.48,47,"x>30"
"3786","Circulatory","FL",2002,64116,16689370,384.2,287625193,2443141,8.49,45,"x>30"
"3787","Circulatory","FL",2003,62625,17004085,368.3,290107933,2448007,8.44,44,"x>30"
"3788","Circulatory","FL",2004,61307,17415318,352,292805298,2397325,8.19,43,"x>30"
"3789","Circulatory","FL",2005,60263,17842038,337.8,295516599,2447782,8.28,41,"x>30"
"3790","Circulatory","FL",2006,57533,18166990,316.7,298379912,2425990,8.13,39,"x>30"
"3791","Circulatory","FL",2007,55198,18367842,300.5,301231207,2423460,8.05,37,"x>30"
"3792","Circulatory","FL",2008,54610,18527305,294.8,304093966,2471723,8.13,36,"x>30"
"3793","Circulatory","FL",2009,53700,18652644,287.9,306771529,2436924,7.94,36,"x>30"
"3794","Circulatory","FL",2010,54232,18801310,288.4,308745538,2468186,7.99,36,"x>30"
"3795","Circulatory","GA",1999,23775,8045965,295.5,279040168,2391143,8.57,34,"x>30"
"3796","Circulatory","GA",2000,23983,8186453,293,281421906,2403035,8.54,34,"x>30"
"3797","Circulatory","GA",2001,23632,8377038,282.1,284968955,2416093,8.48,33,"x>30"
"3798","Circulatory","GA",2002,23616,8508256,277.6,287625193,2443141,8.49,33,"x>30"
"3799","Circulatory","GA",2003,23449,8622793,271.9,290107933,2448007,8.44,32,"x>30"
"3800","Circulatory","GA",2004,22528,8769252,256.9,292805298,2397325,8.19,31,"x>30"
"3801","Circulatory","GA",2005,22493,8925922,252,295516599,2447782,8.28,30,"20<x<=30"
"3802","Circulatory","GA",2006,22175,9155813,242.2,298379912,2425990,8.13,30,"20<x<=30"
"3803","Circulatory","GA",2007,21779,9349988,232.9,301231207,2423460,8.05,29,"20<x<=30"
"3804","Circulatory","GA",2008,21248,9504843,223.5,304093966,2471723,8.13,27,"20<x<=30"
"3805","Circulatory","GA",2009,21582,9620846,224.3,306771529,2436924,7.94,28,"20<x<=30"
"3806","Circulatory","GA",2010,21607,9687653,223,308745538,2468186,7.99,28,"20<x<=30"
"3807","Circulatory","HI",1999,3403,1210300,281.2,279040168,2391143,8.57,33,"x>30"
"3808","Circulatory","HI",2000,3338,1211537,275.5,281421906,2403035,8.54,32,"x>30"
"3809","Circulatory","HI",2001,3293,1225948,268.6,284968955,2416093,8.48,32,"x>30"
"3810","Circulatory","HI",2002,3553,1239613,286.6,287625193,2443141,8.49,34,"x>30"
"3811","Circulatory","HI",2003,3433,1251154,274.4,290107933,2448007,8.44,33,"x>30"
"3812","Circulatory","HI",2004,3399,1273569,266.9,292805298,2397325,8.19,33,"x>30"
"3813","Circulatory","HI",2005,3258,1292729,252,295516599,2447782,8.28,30,"20<x<=30"
"3814","Circulatory","HI",2006,3150,1309731,240.5,298379912,2425990,8.13,30,"20<x<=30"
"3815","Circulatory","HI",2007,3093,1315675,235.1,301231207,2423460,8.05,29,"20<x<=30"
"3816","Circulatory","HI",2008,3180,1332213,238.7,304093966,2471723,8.13,29,"20<x<=30"
"3817","Circulatory","HI",2009,3265,1346717,242.4,306771529,2436924,7.94,31,"x>30"
"3818","Circulatory","HI",2010,3078,1360301,226.3,308745538,2468186,7.99,28,"20<x<=30"
"3819","Circulatory","ID",1999,3531,1275674,276.8,279040168,2391143,8.57,32,"x>30"
"3820","Circulatory","ID",2000,3461,1293953,267.5,281421906,2403035,8.54,31,"x>30"
"3821","Circulatory","ID",2001,3507,1319962,265.7,284968955,2416093,8.48,31,"x>30"
"3822","Circulatory","ID",2002,3498,1340372,261,287625193,2443141,8.49,31,"x>30"
"3823","Circulatory","ID",2003,3575,1363380,262.2,290107933,2448007,8.44,31,"x>30"
"3824","Circulatory","ID",2004,3405,1391802,244.6,292805298,2397325,8.19,30,"20<x<=30"
"3825","Circulatory","ID",2005,3401,1428241,238.1,295516599,2447782,8.28,29,"20<x<=30"
"3826","Circulatory","ID",2006,3386,1468669,230.5,298379912,2425990,8.13,28,"20<x<=30"
"3827","Circulatory","ID",2007,3318,1505105,220.4,301231207,2423460,8.05,27,"20<x<=30"
"3828","Circulatory","ID",2008,3161,1534320,206,304093966,2471723,8.13,25,"20<x<=30"
"3829","Circulatory","ID",2009,3243,1554439,208.6,306771529,2436924,7.94,26,"20<x<=30"
"3830","Circulatory","ID",2010,3397,1567582,216.7,308745538,2468186,7.99,27,"20<x<=30"
"3831","Circulatory","IL",1999,43778,12359020,354.2,279040168,2391143,8.57,41,"x>30"
"3832","Circulatory","IL",2000,41960,12419293,337.9,281421906,2403035,8.54,40,"x>30"
"3833","Circulatory","IL",2001,40866,12488445,327.2,284968955,2416093,8.48,39,"x>30"
"3834","Circulatory","IL",2002,40663,12525556,324.6,287625193,2443141,8.49,38,"x>30"
"3835","Circulatory","IL",2003,39437,12556006,314.1,290107933,2448007,8.44,37,"x>30"
"3836","Circulatory","IL",2004,37476,12589773,297.7,292805298,2397325,8.19,36,"x>30"
"3837","Circulatory","IL",2005,37198,12609903,295,295516599,2447782,8.28,36,"x>30"
"3838","Circulatory","IL",2006,35372,12643955,279.8,298379912,2425990,8.13,34,"x>30"
"3839","Circulatory","IL",2007,33974,12695866,267.6,301231207,2423460,8.05,33,"x>30"
"3840","Circulatory","IL",2008,34181,12747038,268.1,304093966,2471723,8.13,33,"x>30"
"3841","Circulatory","IL",2009,32349,12796778,252.8,306771529,2436924,7.94,32,"x>30"
"3842","Circulatory","IL",2010,32443,12830632,252.9,308745538,2468186,7.99,32,"x>30"
"3843","Circulatory","IN",1999,22165,6044969,366.7,279040168,2391143,8.57,43,"x>30"
"3844","Circulatory","IN",2000,21837,6080485,359.1,281421906,2403035,8.54,42,"x>30"
"3845","Circulatory","IN",2001,21037,6127760,343.3,284968955,2416093,8.48,40,"x>30"
"3846","Circulatory","IN",2002,20647,6155967,335.4,287625193,2443141,8.49,40,"x>30"
"3847","Circulatory","IN",2003,20600,6196638,332.4,290107933,2448007,8.44,39,"x>30"
"3848","Circulatory","IN",2004,19576,6233007,314.1,292805298,2397325,8.19,38,"x>30"
"3849","Circulatory","IN",2005,19408,6278616,309.1,295516599,2447782,8.28,37,"x>30"
"3850","Circulatory","IN",2006,19067,6332669,301.1,298379912,2425990,8.13,37,"x>30"
"3851","Circulatory","IN",2007,18141,6379599,284.4,301231207,2423460,8.05,35,"x>30"
"3852","Circulatory","IN",2008,18196,6424806,283.2,304093966,2471723,8.13,35,"x>30"
"3853","Circulatory","IN",2009,17811,6459325,275.7,306771529,2436924,7.94,35,"x>30"
"3854","Circulatory","IN",2010,17796,6483802,274.5,308745538,2468186,7.99,34,"x>30"
"3855","Circulatory","IA",1999,11921,2917634,408.6,279040168,2391143,8.57,48,"x>30"
"3856","Circulatory","IA",2000,11602,2926324,396.5,281421906,2403035,8.54,46,"x>30"
"3857","Circulatory","IA",2001,11334,2931997,386.6,284968955,2416093,8.48,46,"x>30"
"3858","Circulatory","IA",2002,11213,2934234,382.1,287625193,2443141,8.49,45,"x>30"
"3859","Circulatory","IA",2003,10800,2941999,367.1,290107933,2448007,8.44,43,"x>30"
"3860","Circulatory","IA",2004,10097,2953635,341.8,292805298,2397325,8.19,42,"x>30"
"3861","Circulatory","IA",2005,10263,2964454,346.2,295516599,2447782,8.28,42,"x>30"
"3862","Circulatory","IA",2006,9639,2982644,323.2,298379912,2425990,8.13,40,"x>30"
"3863","Circulatory","IA",2007,9288,2999212,309.7,301231207,2423460,8.05,38,"x>30"
"3864","Circulatory","IA",2008,9733,3016734,322.6,304093966,2471723,8.13,40,"x>30"
"3865","Circulatory","IA",2009,9313,3032870,307.1,306771529,2436924,7.94,39,"x>30"
"3866","Circulatory","IA",2010,9195,3046355,301.8,308745538,2468186,7.99,38,"x>30"
"3867","Circulatory","KS",1999,9666,2678338,360.9,279040168,2391143,8.57,42,"x>30"
"3868","Circulatory","KS",2000,9618,2688418,357.8,281421906,2403035,8.54,42,"x>30"
"3869","Circulatory","KS",2001,9350,2702162,346,284968955,2416093,8.48,41,"x>30"
"3870","Circulatory","KS",2002,9371,2713535,345.3,287625193,2443141,8.49,41,"x>30"
"3871","Circulatory","KS",2003,9070,2723004,333.1,290107933,2448007,8.44,39,"x>30"
"3872","Circulatory","KS",2004,8433,2734373,308.4,292805298,2397325,8.19,38,"x>30"
"3873","Circulatory","KS",2005,8369,2745299,304.8,295516599,2447782,8.28,37,"x>30"
"3874","Circulatory","KS",2006,8135,2762931,294.4,298379912,2425990,8.13,36,"x>30"
"3875","Circulatory","KS",2007,8020,2783785,288.1,301231207,2423460,8.05,36,"x>30"
"3876","Circulatory","KS",2008,7981,2808076,284.2,304093966,2471723,8.13,35,"x>30"
"3877","Circulatory","KS",2009,7407,2832704,261.5,306771529,2436924,7.94,33,"x>30"
"3878","Circulatory","KS",2010,7582,2853118,265.7,308745538,2468186,7.99,33,"x>30"
"3879","Circulatory","KY",1999,15703,4018053,390.8,279040168,2391143,8.57,46,"x>30"
"3880","Circulatory","KY",2000,15448,4041769,382.2,281421906,2403035,8.54,45,"x>30"
"3881","Circulatory","KY",2001,15187,4068132,373.3,284968955,2416093,8.48,44,"x>30"
"3882","Circulatory","KY",2002,15062,4089875,368.3,287625193,2443141,8.49,43,"x>30"
"3883","Circulatory","KY",2003,14658,4117170,356,290107933,2448007,8.44,42,"x>30"
"3884","Circulatory","KY",2004,13707,4146101,330.6,292805298,2397325,8.19,40,"x>30"
"3885","Circulatory","KY",2005,13879,4182742,331.8,295516599,2447782,8.28,40,"x>30"
"3886","Circulatory","KY",2006,13471,4219239,319.3,298379912,2425990,8.13,39,"x>30"
"3887","Circulatory","KY",2007,12900,4256672,303.1,301231207,2423460,8.05,38,"x>30"
"3888","Circulatory","KY",2008,13018,4289878,303.5,304093966,2471723,8.13,37,"x>30"
"3889","Circulatory","KY",2009,12614,4317074,292.2,306771529,2436924,7.94,37,"x>30"
"3890","Circulatory","KY",2010,12474,4339367,287.5,308745538,2468186,7.99,36,"x>30"
"3891","Circulatory","LA",1999,15658,4460811,351,279040168,2391143,8.57,41,"x>30"
"3892","Circulatory","LA",2000,15102,4468976,337.9,281421906,2403035,8.54,40,"x>30"
"3893","Circulatory","LA",2001,15070,4477875,336.5,284968955,2416093,8.48,40,"x>30"
"3894","Circulatory","LA",2002,14779,4497267,328.6,287625193,2443141,8.49,39,"x>30"
"3895","Circulatory","LA",2003,15103,4521042,334.1,290107933,2448007,8.44,40,"x>30"
"3896","Circulatory","LA",2004,14312,4552238,314.4,292805298,2397325,8.19,38,"x>30"
"3897","Circulatory","LA",2005,14512,4576628,317.1,295516599,2447782,8.28,38,"x>30"
"3898","Circulatory","LA",2006,13120,4302665,304.9,298379912,2425990,8.13,38,"x>30"
"3899","Circulatory","LA",2007,13002,4375581,297.1,301231207,2423460,8.05,37,"x>30"
"3900","Circulatory","LA",2008,13269,4435586,299.1,304093966,2471723,8.13,37,"x>30"
"3901","Circulatory","LA",2009,13011,4491648,289.7,306771529,2436924,7.94,36,"x>30"
"3902","Circulatory","LA",2010,13109,4533372,289.2,308745538,2468186,7.99,36,"x>30"
"3903","Circulatory","ME",1999,4580,1266808,361.5,279040168,2391143,8.57,42,"x>30"
"3904","Circulatory","ME",2000,4558,1274923,357.5,281421906,2403035,8.54,42,"x>30"
"3905","Circulatory","ME",2001,4440,1285692,345.3,284968955,2416093,8.48,41,"x>30"
"3906","Circulatory","ME",2002,4298,1295960,331.6,287625193,2443141,8.49,39,"x>30"
"3907","Circulatory","ME",2003,4222,1306513,323.2,290107933,2448007,8.44,38,"x>30"
"3908","Circulatory","ME",2004,4046,1313688,308,292805298,2397325,8.19,38,"x>30"
"3909","Circulatory","ME",2005,3931,1318787,298.1,295516599,2447782,8.28,36,"x>30"
"3910","Circulatory","ME",2006,3754,1323619,283.6,298379912,2425990,8.13,35,"x>30"
"3911","Circulatory","ME",2007,3763,1327040,283.6,301231207,2423460,8.05,35,"x>30"
"3912","Circulatory","ME",2008,3719,1330509,279.5,304093966,2471723,8.13,34,"x>30"
"3913","Circulatory","ME",2009,3571,1329590,268.6,306771529,2436924,7.94,34,"x>30"
"3914","Circulatory","ME",2010,3471,1328361,261.3,308745538,2468186,7.99,33,"x>30"
"3915","Circulatory","MD",1999,15980,5254509,304.1,279040168,2391143,8.57,35,"x>30"
"3916","Circulatory","MD",2000,16359,5296486,308.9,281421906,2403035,8.54,36,"x>30"
"3917","Circulatory","MD",2001,16208,5374691,301.6,284968955,2416093,8.48,36,"x>30"
"3918","Circulatory","MD",2002,15898,5440389,292.2,287625193,2443141,8.49,34,"x>30"
"3919","Circulatory","MD",2003,15902,5496269,289.3,290107933,2448007,8.44,34,"x>30"
"3920","Circulatory","MD",2004,15113,5546935,272.5,292805298,2397325,8.19,33,"x>30"
